romdasSpikes,calcSpikes,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog
1214.0,18,3.95,9.80066087591739,0.055887135949834084,5.058506624604123e-19,0.055887135949834084,0.001917388829556506,0.055887135949834084,3.0842186867392387,1.255272505103306
1403.0,24,4.17,9.799530931589556,0.07571679441157605,9.036493242804923e-19,0.07571679441157605,-0.0013951196923558712,0.07571679441157605,3.1470576710283598,1.380211241711606
1268.0,25,4.02,9.800078354748814,0.08225969272653583,-2.2669681788333283e-19,0.08225969272653583,-0.010717472901909657,0.08225969272653583,3.1031192535457137,1.3979400086720377
943.0,17,3.64,9.802007668276866,0.06934885827471425,5.778928206115505e-19,0.06934885827471425,0.009442235638270983,0.06934885827471425,2.9745116927373285,1.2304489213782739
1715.0,269,4.54,9.79975701032933,0.10040249594645968,1.44662452109166e-19,0.10040249594645968,0.0008976489651686927,0.10040249594645968,3.2342641243787895,2.429752280002408
1282.0,34,4.04,9.796786766336925,0.0706120116822265,5.605604586692691e-19,0.0706120116822265,0.006562383970731303,0.0706120116822265,3.1078880251827985,1.5314789170422551
1098.0,20,3.82,9.80162910922543,0.08924093297903757,-1.5488267955874904e-19,0.08924093297903757,0.001882750421320239,0.08924093297903757,3.040602340114073,1.3010299956639813
901.0,16,3.59,9.800090132769418,0.06384167894825021,-1.0612425970681669e-19,0.06384167894825021,-0.002341251785481142,0.06384167894825021,2.954724790979063,1.2041199826559248
1001.0,24,3.72,9.797275930804972,0.07624044347730861,-9.091235994471042e-19,0.07624044347730861,-0.0025025015152324898,0.07624044347730861,3.000434077479319,1.380211241711606
1049.0,14,3.76,9.798159884725298,0.0713719086314276,-4.1509454603730743e-19,0.0713719086314276,-0.012508323478707778,0.0713719086314276,3.020775488193558,1.146128035678238
1258.0,28,4.0,9.803503711514358,0.07789529123332462,1.171996104501404e-18,0.07789529123332462,-0.006758365546152184,0.07789529123332462,3.09968064110925,1.4471580313422192
1646.0,32,4.46,9.792625856399535,0.08898706099769388,-9.6710833785707e-19,0.08898706099769388,0.0035579372186749043,0.08898706099769388,3.216429830876251,1.505149978319906
1475.0,23,4.26,9.801123677995472,0.07111802572926866,6.090806871207459e-19,0.07111802572926866,0.0017942670573654514,0.07111802572926866,3.1687920203141817,1.3617278360175928
1153.0,38,3.88,9.798707131385804,0.10202853469637009,2.602085213965213e-19,0.10202853469637009,0.007335160857762845,0.10202853469637009,3.061829307294699,1.5797835966168101
1099.0,22,3.82,9.802456659234087,0.07153131022737125,2.5342047301226407e-18,0.07153131022737125,0.0029009981347905282,0.07153131022737125,3.0409976924234905,1.3424226808222062
1606.0,124,4.41,9.799226508885216,0.08295528216824169,-1.1644034290803442e-20,0.08295528216824169,-0.0012436915394833535,0.08295528216824169,3.205745540942662,2.093421685162235
